id_producto,producto,marca,cantidad,unidad,presentacion,carrefour_query,carrefour_url,coto_query,coto_url,dia_query,dia_url
"GAL_OREO_117G","Galletitas","Oreo","117","g","117g","Oreo 117g","https://www.carrefour.com.ar/galletitas-rellenas-de-vainilla-oreo-117-g-697155/p","Oreo 117g","https://www.coto.com.ar/productos/galletitas-oreo-117-g-/_/R-00512340-00512340-200","Oreo 117g","https://diaonline.supermercadosdia.com.ar/galletitas-rellenas-oreo-117-gr-69715/p"
"LEC_LASERENISIMA_1L","Leche","La Serenisima","1","L","1L","Leche La Serenisima 1L","https://www.carrefour.com.ar/leche-entera-clasica-la-serenisima-1-l/p","Leche La Serenisima 1L","https://www.coto.com.ar/productos/leche-multidefensas-3-la-serenisima-sachet-1l-/_/R-00511510-00511510-200","Leche La Serenisima 1L","https://diaonline.supermercadosdia.com.ar/leche-la-serenisima-entera-1-lt/p"
"YER_PLAYADITO_1KG","Yerba","Playadito","1","kg","1kg","Yerba Playadito 1kg","https://www.carrefour.com.ar/yerba-mate-playadito-con-palo-1-kg/p","Yerba Playadito 1kg","https://www.coto.com.ar/productos/yerba-mate-playadito-con-palo-1-kg-/_/R-00205120-00205120-200","Yerba Playadito 1kg","https://diaonline.supermercadosdia.com.ar/yerba-mate-con-palo-playadito-1-kg/p"
"ACE_NATURA_900ML","Aceite","Natura","900","ml","900ml","Aceite Natura 900ml","https://www.carrefour.com.ar/aceite-de-girasol-natura-900-ml/p","Aceite Natura 900ml","https://www.coto.com.ar/productos/aceite-de-girasol-natura-botella-900-ml-/_/R-00114520-00114520-200","Aceite Natura 900ml","https://diaonline.supermercadosdia.com.ar/aceite-de-girasol-natura-900-ml/p"
"FID_MATARAZZO_500G","Fideos","Matarazzo","500","g","500g","Fideos Matarazzo 500g","https://www.carrefour.com.ar/fideos-spaghetti-matarazzo-500-g/p","Fideos Matarazzo 500g","https://www.coto.com.ar/productos/fideos-tallarines-matarazzo-500-g-/_/R-00189420-00189420-200","Fideos Matarazzo 500g","https://diaonline.supermercadosdia.com.ar/fideos-spaghetti-matarazzo-500-gr/p"
